id;image;image_content_type;colour;pattern;homogeneous;vein;stratification;crack;crack_status;quality;price
1;../fake-data/blob/hipster.png;image/png;Planner;JBOD;vortals Tasty;magenta;Sausages productize Shoes;firewall;generating;Soft;moderator Central
2;../fake-data/blob/hipster.png;image/png;e-tailers;Garden optical;Lodge deposit;compressing ivory Streamlined;calculate Soft FTP;infrastructure;Forward Michigan indexing;invoice;turquoise
3;../fake-data/blob/hipster.png;image/png;bluetooth;lavender emulation;Quetzal EXE;SMTP;Bike Gorgeous;Realigned Networked;Wooden Avon mesh;Berkshire;Engineer
4;../fake-data/blob/hipster.png;image/png;indexing product;Supervisor wireless;user-centric;panel Bedfordshire Metal;Senior;Gorgeous Rwanda;Wooden withdrawal Haiti;deposit deposit User-friendly;Supervisor IB fresh-thinking
5;../fake-data/blob/hipster.png;image/png;generation;drive Dynamic;Account generate Soft;Colorado generate FTP;Salvador SSL Palau;Maine seamless;GB Computers;blue purple Soft;Configuration platforms Credit
6;../fake-data/blob/hipster.png;image/png;PCI deploy;Games virtual;Music one-to-one;Intelligent;Shoes;Markets Human;Metal;bricks-and-clicks Progressive;gold auxiliary
7;../fake-data/blob/hipster.png;image/png;RSS input Soft;Personal TCP Card;impactful;generate;Reactive Lane Jewelery;parse;Investment Shirt Personal;viral;Dobra
8;../fake-data/blob/hipster.png;image/png;Nakfa Home archive;UIC-Franc distributed Public-key;Sudan Loan;Lead Dollar Investment;De-engineered Chief;Licensed Focused deposit;Glens;iterate;connect
9;../fake-data/blob/hipster.png;image/png;Malagasy;Loan;Multi-layered architect;optical;District Account;world-class Rial array;index Arizona withdrawal;Decentralized;indexing white
10;../fake-data/blob/hipster.png;image/png;Decentralized application Land;monitor hack frictionless;mission-critical Metal deposit;Pizza program;Rubber Dam copy;Branding;architectures e-enable synergistic;neural GB Ergonomic;well-modulated
